id,start_time,end_time,pallets_loaded,Duration,DurationFormatted
Truck_132,2023-12-27 13:43:03.680,2023-12-27 16:58:50.547,20,0 days 03:15:46.867000,3:15
Truck_133,2023-12-27 16:59:26.307,2023-12-27 19:06:46.317,20,0 days 02:07:20.010000,2:7
Truck_134,2023-12-27 19:07:52.373,2023-12-27 21:25:01.110,20,0 days 02:17:08.737000,2:17
Truck_135,2023-12-27 21:49:31.813,2023-12-27 23:07:26.980,20,0 days 01:17:55.167000,1:17
Truck_136,2023-12-27 23:10:19.907,2023-12-28 00:44:50.620,20,0 days 01:34:30.713000,1:34
Truck_137,2023-12-28 00:52:52.913,2023-12-28 06:07:13.863,20,0 days 05:14:20.950000,5:14
Truck_138,2023-12-28 06:08:12.330,2023-12-28 06:56:48.153,20,0 days 00:48:35.823000,0:48
Truck_139,2023-12-28 07:02:30.340,2023-12-28 08:28:03.003,20,0 days 01:25:32.663000,1:25
Truck_140,2023-12-28 08:30:42.557,2023-12-28 10:37:47.103,20,0 days 02:07:04.546000,2:7
Truck_141,2023-12-28 10:39:00.993,2023-12-28 12:58:12.380,20,0 days 02:19:11.387000,2:19
Truck_142,2023-12-28 12:58:45.690,2023-12-28 18:57:09.053,20,0 days 05:58:23.363000,5:58
Truck_143,2023-12-28 19:01:03.343,2023-12-28 20:59:55.787,20,0 days 01:58:52.444000,1:58
Truck_144,2023-12-28 21:02:59.640,2023-12-28 23:15:13.603,20,0 days 02:12:13.963000,2:12
Truck_145,2023-12-28 23:16:04.083,2023-12-29 00:55:44.077,20,0 days 01:39:39.994000,1:39
Truck_146,2023-12-29 01:07:11.337,2023-12-29 01:43:58.387,20,0 days 00:36:47.050000,0:36
Truck_147,2023-12-29 01:46:38.783,2023-12-29 03:22:21.450,20,0 days 01:35:42.667000,1:35
Truck_148,2023-12-29 03:23:09.780,2023-12-29 04:40:49.677,20,0 days 01:17:39.897000,1:17
Truck_149,2023-12-29 04:43:04.437,2023-12-29 07:14:00.937,20,0 days 02:30:56.500000,2:30
Truck_150,2023-12-29 07:35:15.163,2023-12-29 09:58:56.553,20,0 days 02:23:41.390000,2:23
Truck_151,2023-12-29 10:03:14.573,2023-12-29 12:52:16.780,20,0 days 02:49:02.207000,2:49
Truck_152,2023-12-29 12:53:39.907,2023-12-29 23:08:39.100,20,0 days 10:14:59.193000,10:14
Truck_153,2023-12-29 23:15:45.397,2023-12-30 00:50:54.730,20,0 days 01:35:09.333000,1:35
Truck_154,2023-12-30 00:55:13.367,2023-12-30 04:19:44.700,20,0 days 03:24:31.333000,3:24
Truck_155,2023-12-30 04:40:34.327,2023-12-30 09:30:49.877,20,0 days 04:50:15.550000,4:50
